lab_name;tube_number;species;antigen_target;clone;company;order_number;lot_number;fluorochrome;processing;status;volume_on_arrival;cost_chf;quality_color
Experimental Pathology Facility;26E;mouse;iNOS;SP126;Abcam;ab310816;;APC;FFPE;;100;60.325;ok
Experimental Pathology Facility;27E;mouse;CD138 (Syndecan-1);EPR6454;Abcam;ab209584;;PE;FFPE;;100;6.175;no
Experimental Pathology Facility;2,80E+01;mouse;B220;RA36B2;Miltenyi;130-118-462;;FITC;FFPE;;200;0.188;good
Experimental Pathology Facility;2,80E+02;mouse;B220;RA36B2;Miltenyi;130-118-462;;FITC;FFPE;;200;0.188;good
Experimental Pathology Facility;29E;mouse;F4/80;D2S9R;bioconcept/Cell Signaling;25514SF;;PE (in-house conj);FFPE;;100;13;ok
Experimental Pathology Facility;59E;mouse;F4/80;D2S9R;bioconcept/Cell Signaling;25514SF;;FITC (in house conj);FFPE;;100;11;ok
Experimental Pathology Facility;30E;mouse;Vimentin;D21H3;bioconcept/Cell Signaling;46173SF;;APC (in-house conj);FFPE;;100;13;good
Experimental Pathology Facility;31E;mouse;CD11b;EPR1344;Abcam;ab307387;;AF488;FFPE;;100;60.325;good
Experimental Pathology Facility;32E;mouse;CD11b;EPR1344;Abcam;ab209970;;FITC (in-house conj);FFPE;;100;11.15;good
Experimental Pathology Facility;33E;mouse;Foxp3;FJK-16s;ThermoFischer;12-5773-82;;PE;FFPE;;500;1.08;good
Experimental Pathology Facility;34E;mouse;Alpha-smooth muscle actin;REAL650;Miltenyi;130-123-363;;FITC;FFPE;;200;1.272;good
Experimental Pathology Facility;35E;mouse;Ly6G;1A8;Miltenyi;130-123-712;;PE;FFPE;;200;0.3;good
Experimental Pathology Facility;36E;mouse;CD3;REA641;Miltenyi;130-119-798;;FITC;FFPE;;200;0.185;no
Experimental Pathology Facility;53E;mouse;CD3e;APA1/1;Thermo;MA1-10182;;FITC (in house conj);FFPE;;100;6.514;no
Experimental Pathology Facility;37E;mouse;pERK1/2;D13.14.4E;bioconcept/Cell Signaling;45899SF;;PE (in-house conj);FFPE;;100;13.41;good
Experimental Pathology Facility;57E;mouse;pERK1/2;D13.14.4E;bioconcept/Cell Signaling;4284S;;AF647;FFPE;;100;6.615;good
Experimental Pathology Facility;38E;mouse;Ki-67;REA183;Miltenyi;130-117-691;;FITC;FFPE;;200;1.136;good
Experimental Pathology Facility;38E;mouse;Ki-67;REA183;Miltenyi;130-117-691;;FITC;FFPE;;200;1.136;good
Experimental Pathology Facility;39E;mouse;MHC II;M5/114.15.2;Miltenyi;130-102-186;;PE;FFPE;;1000;0.0784;no
Experimental Pathology Facility;40E;mouse;CD31;EPR17259;Abcam;ab305267;;AF488;FFPE;;100;5.7;good
Experimental Pathology Facility;41E;mouse;CD31;EPR17259;Abcam;ab225883;;APC (in-house conj);FFPE;;100;11.15;good
Experimental Pathology Facility;42E;mouse;NK1.1;PK136;ThermoFischer;MA1-70100;;PE (in-house conj);FFPE;;250;3.576;ok
Experimental Pathology Facility;52E;mouse;NK1.1;PK136;Biolegend;108708;;PE;FFPE;;1000;0.179;ok
