lab_name;tube_number;species;antigen_target;clone;company;order_number;lot_number;fluorochrome;processing;status;volume_on_arrival;cost_chf;quality_color;current_vol;antibody_code
Experimental Pathology Facility;26E;mouse;iNOS;SP126;Abcam;ab310816;;APC;FFPE;in use;100;6;ok;63.28;1
Experimental Pathology Facility;27E;mouse;CD138 (Syndecan-1);EPR6454;Abcam;ab209584;;PE;FFPE;in use;100;6.2;no;68.46;2
Experimental Pathology Facility;28E01;mouse;B220;RA36B2;Miltenyi;130-118-462;;FITC;FFPE;in use;200;0.2;good;1.14;3
Experimental Pathology Facility;28E02;mouse;B220;RA36B2;Miltenyi;130-118-462;;FITC;FFPE;backup;200;0.2;good;200;3
Experimental Pathology Facility;29E;mouse;F4/80;D2S9R;bioconcept/Cell Signaling;25514SF;;PE (in-house conj);FFPE;in use;100;13;ok;43.28;4
Experimental Pathology Facility;59E;mouse;F4/80;D2S9R;bioconcept/Cell Signaling;25514SF;;FITC (in house conj);FFPE;in use;100;11;ok;86.75;5
Experimental Pathology Facility;30E;mouse;Vimentin;D21H3;bioconcept/Cell Signaling;46173SF;;APC (in-house conj);FFPE;in use;100;13;good;49.83;6
Experimental Pathology Facility;31E;mouse;CD11b;EPR1344;Abcam;ab307387;;AF488;FFPE;in use;100;6;good;32.67;7
Experimental Pathology Facility;32E;mouse;CD11b;EPR1344;Abcam;ab209970;;FITC (in-house conj);FFPE;in use;100;11.2;good;100;8
Experimental Pathology Facility;33E;mouse;Foxp3;FJK-16s;ThermoFischer;12-5773-82;;PE;FFPE;in use;500;1.1;good;421.26;9
Experimental Pathology Facility;34E;mouse;Alpha-smooth muscle actin;REAL650;Miltenyi;130-123-363;;FITC;FFPE;in use;200;1.3;good;127.47;10
Experimental Pathology Facility;35E;mouse;Ly6G;1A8;Miltenyi;130-123-712;;PE;FFPE;in use;200;0.3;good;115.76;11
Experimental Pathology Facility;36E;mouse;CD3;REA641;Miltenyi;130-119-798;;FITC;FFPE;in use;200;0.2;no;147.5;12
Experimental Pathology Facility;53E;mouse;CD3e;APA1/1;Thermo;MA1-10182;;FITC (in house conj);FFPE;in use;100;6.5;no;78.38;13
Experimental Pathology Facility;37E;mouse;pERK1/2;D13.14.4E;bioconcept/Cell Signaling;45899SF;;PE (in-house conj);FFPE;in use;100;13.4;good;26.51;14
Experimental Pathology Facility;57E;mouse;pERK1/2;D13.14.4E;bioconcept/Cell Signaling;4284S;;AF647;FFPE;in use;100;6.6;good;100;15
Experimental Pathology Facility;38E01;mouse;Ki-67;REA183;Miltenyi;130-117-691;;FITC;FFPE;in use;200;1.1;good;3.55;16
Experimental Pathology Facility;38E02;mouse;Ki-67;REA183;Miltenyi;130-117-691;;FITC;FFPE;backup;200;1.1;good;200;16
